degrees,latitude,longitude,timestamp,processing_source
12.36,37.4395667,-122.5284333,2024-12-27T06:20:00.000Z,embedded
12.36,37.4395667,-122.52835,2024-12-27T07:20:00.000Z,embedded
12.36,37.4395833,-122.5282167,2024-12-27T08:20:00.000Z,embedded
12.36,37.4396,-122.5281,2024-12-27T09:20:00.000Z,embedded
12.36,37.4395167,-122.52795,2024-12-27T10:20:00.000Z,embedded
12.36,37.4393333,-122.5277,2024-12-27T11:20:00.000Z,embedded
12.36,37.4392333,-122.52765,2024-12-27T12:20:00.000Z,embedded
12.36,37.4391,-122.5276333,2024-12-27T13:20:00.000Z,embedded
12.36,37.4389167,-122.5277167,2024-12-27T14:20:00.000Z,embedded
12.34,37.4387667,-122.5280333,2024-12-27T15:20:00.000Z,embedded
12.34,37.4387,-122.5282333,2024-12-27T16:20:00.000Z,embedded
12.36,37.43865,-122.5284167,2024-12-27T17:20:00.000Z,embedded
12.42,37.4386667,-122.52855,2024-12-27T18:20:00.000Z,embedded
12.56,37.4387,-122.5285833,2024-12-27T19:20:00.000Z,embedded
12.74,37.4387833,-122.52865,2024-12-27T20:20:00.000Z,embedded
12.84,37.43885,-122.52865,2024-12-27T21:20:00.000Z,embedded
12.9,37.4391833,-122.5286667,2024-12-27T22:20:00.000Z,embedded
12.96,37.43945,-122.5284667,2024-12-27T23:20:00.000Z,embedded
12.86,37.4395333,-122.52845,2024-12-28T00:20:00.000Z,embedded
12.76,37.4395333,-122.5285,2024-12-28T01:20:00.000Z,embedded
12.72,37.43955,-122.5285167,2024-12-28T02:20:00.000Z,embedded
12.76,37.4395667,-122.5284333,2024-12-28T03:20:00.000Z,embedded
12.72,37.4395833,-122.5284167,2024-12-28T04:20:00.000Z,embedded
12.7,37.43955,-122.5284333,2024-12-28T05:20:00.000Z,embedded
12.64,37.43955,-122.52835,2024-12-28T06:20:00.000Z,embedded
12.62,37.4395333,-122.5282667,2024-12-28T07:20:00.000Z,embedded
12.6,37.4394333,-122.52815,2024-12-28T08:20:00.000Z,embedded
12.62,37.4393,-122.5279333,2024-12-28T09:20:00.000Z,embedded
12.66,37.43925,-122.5279667,2024-12-28T10:20:00.000Z,embedded
12.62,37.43935,-122.5280833,2024-12-28T11:20:00.000Z,embedded
12.58,37.4394333,-122.5280667,2024-12-28T12:20:00.000Z,embedded
12.54,37.4395167,-122.5282167,2024-12-28T13:20:00.000Z,embedded
12.52,37.4395167,-122.5283667,2024-12-28T14:20:00.000Z,embedded
12.5,37.4395333,-122.5283833,2024-12-28T15:20:00.000Z,embedded
12.48,37.4395333,-122.5283667,2024-12-28T16:20:00.000Z,embedded
